config,n_neighbors,min_dist,documents,candidate_substantive_topics,candidate_outlier_count,candidate_outlier_rate,largest_candidate_topic_share_nonout,ari_all,ami_all,nmi_all,ari_common_nonout,reference_nonout_retained_rate,candidate_nonout_also_reference_nonout_rate,outlier_status_agreement,weighted_best_topic_jaccard,median_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,reference_topics_jaccard_ge_033,model,locked_substantive_topics,locked_outlier_count,locked_outlier_rate,hdbscan_min_cluster_size,hdbscan_min_samples,model_label,config_label
nn30_md0,30,0.0,18813,54,7968,0.4235369159623664,0.2075610880590133,0.5637385347726267,0.712741750122824,0.7221979795922066,0.9421559068385028,0.8376022288127977,0.8593822037805441,0.8228884282145325,0.686107539763456,0.6655294117647059,0.8110002696144514,42,47,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,30 / 0
nn50_md0,50,0.0,18813,52,8703,0.4626056450326901,0.2232443125618199,0.5039425003518114,0.6670891774200935,0.6778405332305969,0.9364774973846456,0.778466792486744,0.8567754698318496,0.7920055280922766,0.6334065397170059,0.4599654377880184,0.7445852431023636,32,44,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,50 / 0
nn15_md01,15,0.1,18813,3,3,0.000159464200287,0.983572567783094,0.0154012557872473,0.062328105060762,0.064795596451811,0.0077515594892071,0.999910128516222,0.5914938862307283,0.5915058735980439,0.0655612178397232,0.0049456786119669,0.9930798957490788,2,2,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,15 / 0.1
nn15_md05,15,0.5,18813,3,788,0.0418859299420613,0.9834119278779472,0.0020005004634091,0.062494397803935,0.0657957288607296,0.0075247809728775,0.969443695515413,0.5984466019417476,0.5971934300749482,0.0643643248444776,0.004737003333472,0.969443695515413,2,2,software_engineering,66,7686.0,0.4085472811353851,35.0,5.0,Software engineering / IT,15 / 0.5
nn5_md0,5,0.0,858,22,83,0.0967365967365967,0.1612903225806451,0.3595435043863838,0.6347623642615453,0.6734122508230055,0.7602063227351624,0.9380804953560372,0.7819354838709678,0.7564102564102564,0.60012821525007,0.6845174973488866,0.8498452012383901,14,17,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,5 / 0
nn10_md0,10,0.0,858,20,162,0.1888111888111888,0.1939655172413793,0.4521622589008366,0.7166095150675189,0.7447790095818712,0.7885804762299159,0.9179566563467492,0.8520114942528736,0.8181818181818182,0.6637558270765072,0.7512054001928641,0.8637770897832817,16,17,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,10 / 0
nn15_md0_reproduction,15,0.0,858,22,212,0.247086247086247,0.1547987616099071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,22,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,"15 / 0
(locked)"
nn30_md0,30,0.0,858,16,232,0.2703962703962704,0.2076677316293929,0.3873353016097594,0.6632810731107011,0.6914970922825554,0.6314909868144276,0.8560371517027864,0.8833865814696485,0.8065268065268065,0.5196530156570878,0.52,0.826625386996904,11,14,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,30 / 0
nn50_md0,50,0.0,858,15,246,0.2867132867132867,0.184640522875817,0.4155122930960013,0.6439515112833197,0.6721271628795263,0.7655359513786512,0.8312693498452013,0.8774509803921569,0.7855477855477856,0.563296915184342,0.4631578947368421,0.7925696594427245,11,13,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,50 / 0
nn15_md01,15,0.1,858,16,251,0.2925407925407925,0.2075782537067545,0.594905023112732,0.7760827398148531,0.7949289699149537,0.7776681470369717,0.891640866873065,0.9489291598023064,0.8822843822843823,0.6858971079678348,0.8094758064516129,0.8808049535603715,15,15,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,15 / 0.1
nn15_md05,15,0.5,858,12,272,0.317016317016317,0.2081911262798634,0.3733551257061347,0.6016269308697679,0.6281645093118295,0.6179088081260463,0.8157894736842105,0.8993174061433447,0.7925407925407926,0.4731853411429846,0.3306580259222332,0.7972136222910217,6,11,explicit_boundary,22,212.0,0.247086247086247,12.0,3.0,Explicit-boundary subset,15 / 0.5
